general motors has unveiled the chevrolet-fnr car .   it has ` dragonfly ' swing doors that open upwards and ` crystal laser headlights ' the car was unveiled at the shanghai general motors gala night this week .   chevrolet said the car offered a glimpse at mobility of the future .
father-of-two shiraz nawaz , 36 , said he felt lucky to be alive after 15-foot flames shot out of the manhole just seconds after he heard buzzing from the ground .   the 36-year-old had been on his way to his local takeaway when a pedestrian had walked over it in a busy street in the west midlands .   smoke was followed by a huge blast of flame which shot out 15-foot of the ground on the pedestrian walkway .
farm worker caught on camera urinating in a field of vegetables in benington , lincolnshire .   member of the public snapped the man using the field as a makeshift toilet .   despite a toilet being only 18 metres away .
winchester council in hampshire said it was too dangerous to collect roadside litter .   hse denied tightening rules and said councils were ` over-interpreting ' legislation .   sir andrew motion now president of campaign to protect rural england .
michael scott shemansky is on the run after authorities named him as a suspect in the murder of his mother sandra shemansky , 57 .   the body was discovered at the home they shared in winter garden .   his wife filed a domestic violence injunction against him two years ago .
domenico rancadore , who has lived in britain for 20 years , was given a seven-year sentence by an italian court in 1999 for being a member of the cosa nostra .   he lost his year-and-a-half battle against extradition and was told he must return to italy to serve his sentence .   rancadore 's case expired last october and his european arrest warrant is to be withdrawn .
baron the german shepherd was filmed as he helped get the dishes done at home in california .   footage shows the pup reaching up and grabbing rinsed goods between his teeth from the sink , before loading them into the dishwasher .   other videos show the pup breaking sweat as he helps his trainer workout .
lindsay sandiford , 58 , believes she will be executed by end of year for smuggling drugs .   she was sentenced to death after indonesian police linked her to almost five kilograms of cocaine .   australians andrew chan , 31 , and myuran sukumaran , 33 , were executed along with six other prisoners by an indonesian firing squad .
abby bishop was 24 when she took in her two-day-old niece zala .   it was august 2013 and bishop as she travels the world playing for professional teams .   now zala is 20 months old and follows bishop .
ben flower punched st helens ' lance hohaia in last season 's grand final .   the 27-year-old made his first appearance since thursday 's match .   coach shaun wane had said he wanted to see him come back .
paul armstrong , 26 , flew to cyprus with stun gun , baton and knuckle duster in his luggage .   armstrong pleaded guilty to possession of a firearm and offensive weapons and lost his job before he even started it .   armstrong was sentenced to eight months imprisonment with # 2,000 costs at newcastle crown court .
olly taylor , 27 , is offering his version the easter feast at his black milk cafe in manchester 's northern quarter .   the breakfast includes two types of cereal served in half an easter egg , with brownies topped off with three different types of flavoured milk .   the meal is so sweet it contains the equivalent of 388g of sugar or 97 teaspoons .
european union will accuse google of illegally abusing its supremacy on the internet search market .   google currently boasts a 90 per cent share in europe 's search engine market .   google will have to probe google 's operating system for android smartphones .
phil smith , 25 , scaled a fence to try to get in his flat in cottingham , hull , but fell and hit his head .   he was placed in a medically induced coma at hull royal infirmary , but died five days later on april 9 .   mr smith 's parents have paid tribute to their ` lovely son ' who had a natural talent with children .
detective inspector raymond falconer identified a man who had dropped a lit cigarette that went down a hole in the stand and started the fire .   bradford city 's valley parade stadium claimed 56 victims and injured 265 on may 11 , 1985 .   martin lost three of his family and has no evidence to suggest the fire may not have been an accident .
rory mcilroy was filmed battling with fifty shades of grey star jamie dornan during a match of circular soccer , a new football game .   the world no 1 golfer defeated the film star 2-1 to take the crown .   mcilroy is a manchester united fan .
chris christie appeared on the tonight show and called out jimmy fallon for his weight jokes about the governor .   fallon gave christie his favorite food - ice cream .   the ice cream was named after the show by ben & jerry 's .
incredible images show handcuffed members from the notorious barrio 18 gang being marched onto buses taking them from izalco jail to san francisco gotera in an effort to curb gang violence .   authorities in el salvador have moved prisoners from two of the country 's hyper-violent gangs into the same prison for the first time .   barrio 18 members at the jail will mix with their rivals from the hyper-violent mara salvatrucha gang , or ms-13 .
virginia 's portsmouth public schools say that their lunches are in compliance with michelle obama 's federal lunch rules .   food service said the lunch was ` concerning ' but that it may not be as bad as it .   after the photo of her child 's lunch , a whole wheat bun , and corn and then posted it to social media this week .
the boat was intercepted some 90 kilometers from the libyan port of misrata .   italy is a major gateway to europe for migrants from north africa .   italy registered more than 10,000 migrants in the first three months of 2015 .
doctors at university college london hospitals nhs foundation trust are able to start vital treatment much sooner using a single procedure .   method halves the time it takes between a patient 's first hospital appointment and for a decision to be made on the best course of treatment .   ebus patients wait an average of 14 days for those diagnosed via more conventional techniques .
the bbc has made light of jeremy clarkson 's attack on a junior producer .   clarkson uses the word ` tosser ' on top gear .   the episode was filmed last july .
