labels,ext_heter_graph,ext_matchsumm,abs_bart,ext_refresh,abs_two_stage_rl,abs_neusumm,abs_bottom_up,abs_semsim,abs_unilm,ext_bart,ext_banditsumm
inference,0.19354838709677416,0.22222222222222224,0.39534883720930236,0.2692307692307692,0.16091954022988506,0.30769230769230765,0.12987012987012989,0.48275862068965514,0.2549019607843137,0.54,0.16470588235294117
paraphrase,0.22429906542056074,0.20833333333333331,0.3076923076923077,0.20338983050847456,0.22429906542056074,0.24999999999999994,0.24742268041237112,0.2837837837837838,0.27522935779816515,0.2666666666666667,0.24999999999999994
entity,0.24778761061946902,0.2156862745098039,0.2156862745098039,0.1818181818181818,0.26506024096385544,0.21238938053097345,0.24390243902439024,0.16513761467889906,0.1782178217821782,0.23008849557522124,0.21782178217821782
inference,0.2236842105263158,0.35862068965517235,0.46296296296296297,0.3352601156069364,0.18749999999999997,0.2236842105263158,0.23333333333333336,0.3787878787878788,0.19642857142857142,0.31007751937984496,0.3684210526315789
paraphrase,0.2255639097744361,0.31404958677685957,0.2463768115942029,0.2517482517482517,0.2626262626262626,0.2950819672131148,0.2706766917293233,0.2992125984251969,0.21818181818181817,0.2773722627737226,0.22222222222222224
inference,0.27118644067796605,0.2702702702702703,0.30769230769230765,0.28750000000000003,0.3157894736842105,0.3120567375886525,0.2376237623762376,0.31775700934579443,0.2764227642276423,0.28846153846153844,0.3120567375886525
paraphrase,0.14388489208633096,0.2047244094488189,0.14285714285714288,0.15384615384615383,0.2434782608695652,0.16058394160583941,0.13333333333333333,0.18840579710144925,0.21818181818181817,0.13924050632911394,0.14388489208633096
inference,0.19696969696969696,0.23333333333333334,0.23931623931623933,0.15730337078651688,0.1680672268907563,0.19444444444444445,0.18367346938775508,0.11382113821138214,0.20560747663551404,0.1891891891891892,0.1911764705882353
evidence,0.3050847457627119,0.24074074074074076,0.16949152542372883,0.20118343195266275,0.2105263157894737,0.20833333333333331,0.37499999999999994,0.288135593220339,0.24,0.2018348623853211,0.288135593220339
inference,0.46846846846846857,0.5112781954887218,0.24793388429752064,0.3870967741935483,0.2644628099173554,0.35714285714285715,0.13846153846153844,0.3977900552486188,0.25396825396825395,0.2518518518518519,0.4799999999999999
paraphrase,0.25210084033613445,0.3076923076923077,0.31147540983606553,0.16058394160583941,0.19999999999999998,0.11965811965811966,0.13043478260869565,0.304,0.31578947368421056,0.34710743801652894,0.20800000000000002
evidence,0.3384615384615385,0.3384615384615385,0.24778761061946902,0.2641509433962264,0.24390243902439027,0.326241134751773,0.24242424242424243,0.31007751937984496,0.25210084033613445,0.3418803418803419,0.3458646616541354
inference,0.32653061224489793,0.21666666666666667,0.2736842105263158,0.18518518518518517,0.367816091954023,0.23333333333333336,0.2631578947368421,0.5045045045045045,0.3333333333333333,0.24778761061946902,0.29357798165137616
paraphrase,0.3571428571428571,0.42857142857142855,0.36065573770491804,0.384,0.3555555555555555,0.384,0.4112149532710281,0.33057851239669417,0.2833333333333334,0.3089430894308943,0.42857142857142855
inference,0.1764705882352941,0.1651376146788991,0.3862068965517241,0.09395973154362416,0.18749999999999997,0.1739130434782609,0.15,0.32380952380952377,0.20168067226890757,0.2893081761006289,0.14035087719298248
evidence,0.1846153846153846,0.15503875968992248,0.2641509433962264,0.2483660130718954,0.1616161616161616,0.19548872180451127,0.17094017094017094,0.183206106870229,0.31304347826086953,0.319327731092437,0.23728813559322035
paraphrase,0.3818181818181818,0.48192771084337355,0.5154639175257731,0.22222222222222224,0.3783783783783784,0.23636363636363636,0.38554216867469876,0.38888888888888884,0.4736842105263158,0.5,0.36363636363636365
