general motors has unveiled the chevrolet-fnr car -lrb- shown -rrb- .   it has ` dragonfly ' swing doors that open upwards and ` crystal laser headlights ' the car was unveiled at the shanghai general motors gala night this week .   chevrolet said the car offered a ` glimpse at mobility of the future .
father-of-two shiraz nawaz said he felt lucky to be alive after the 15-foot flames shot out of the manhole just seconds after he had walked over it in a busy street in the west midlands .   shiraz nawaz , 36 , said he felt lucky to be alive after he narrowly missed being burnt by flames shooting out of the manhole .   the smoke was followed by a huge blast of flame which shot out 15-foot of the ground on the pedestrian walkway .
a food supplier for supermarket giant tesco has sacked a farm worker who was caught on camera urinating in a field of vegetables .   a disgusted member of the public snapped the man on his mobile phone after spotting him using the field as a makeshift toilet .   the worker , who can be seen in a high-vis jacket , casually stood in the middle of the crops urinating on the plants - despite a toilet being only 18 metres away .
cpre president sir andrew motion , who is demanding a national clean-up .   winchester council in hampshire said its annual clean-up of roads around the city had been hit by new health and safety executive rules designed to protect litter-pickers from traffic .   but the hse denied tightening rules -- and said councils were ` over-interpreting ' legislation .
michael scott shemansky is on the run after authorities named him as a suspect in the murder of his mother .   police say michael scott shemansky came to their attention after he failed to appear for a supervised visit with his son on the same day mother sandra shemansky , 57 , was found dead at the home they shared in winter garden .   the body was discovered at the west colonial drive home when an out-of-state family member called in a well-being check .
a sicilian mafia fugitive dubbed the godfather of uxbridge who was set to be extradited to italy will be allowed to remain in the uk after his sentence was dropped .   domenico rancadore , who has lived in britain for more than 20 years , was given a seven-year sentence by an italian court in 1999 for being a member of the cosa nostra .   in february he lost his year-and-a-half battle against extradition and was told he must return to italy to serve his sentence .
baron the german shepherd was filmed as he helped get the dishes done at home in california .   baron was professionally trained at the hill country k9 school .   to date the clip of baron dishwashing has been watched more than 27,000 times .
lindsay sandiford , 58 , from cheltenham , now fears she will be the next to face the firing squad and said she ` feels like giving up ' and ` just wants to get it over with ' .   australians andrew chan , 31 , and myuran sukumaran , 33 , were executed along with six other prisoners by an indonesian firing squad .   she was sentenced to death after indonesian police linked her to almost five kilograms of cocaine .
but when basketballer abby bishop was just 24 , her life completely changed when she took in her two-day-old niece zala .   it was august 2013 and bishop suddenly found herself caring for a newborn , juggling training with sleepless nights and adjusting to her new life .   now zala is 20 months old and she follows bishop as she travels the world playing for professional teams , and will go with her to the u.s. this may when she starts playing for the seattle storm in the wnba .
ben flower does not believe he deserved the standing ovation which greeted his return from suspension on thursday night .   as his wigan side beat warrington 30-20 , the wales forward made his first appearance since he punched st helens ' lance hohaia in the opening moments of last season 's grand final , earning a six-month ban .   ` what happened in the grand final was a massive mistake .
armstrong , 26 , pleaded guilty of trying to bring a stun gun , a baton and knuckle dusters back into the uk from cyprus in his luggage -lrb- file picture -rrb- .   a holidaymaker who jetted off to cyprus to celebrate his new job was sacked before starting after returning with a stun gun , baton and knuckle duster in his luggage .   paul armstrong , 26 , of sunderland , flew to cyprus with four friends before beginning his new role as an it project manager .
olly taylor , 27 , is offering his version the easter feast , which is stuffed with the equivalent of almost 100 teaspoons of sugar , at his black milk cafe in manchester 's northern quarter .   the breakfast includes two types of cereal served in half an easter egg , with brownies , marshmallows and mini eggs , topped off with three different types of flavoured milk .   the easter feast breakfast is available at the black milk cereal cafe in manchester 's northern quarter .
brussels will say that google has used its massive dominance as a search engine to divert internet users from rivals to its own services , which include youtube and the google + social network .   google currently boasts a 90 per cent share in europe 's search engine market .   the european union will accuse google of illegally abusing its supremacy on the internet search market .
phil smith , 25 , scaled a fence to try to get in his flat in cottingham , hull , but fell and hit his head .   the 25-year-old , who worked at a school for disabled children , fractured his skull and suffered a bleed on the brain and a blood clot in the fall .   he was placed in a medically induced coma at hull royal infirmary , but died five days later on april 9 .
john helm was commentating on bradford city 's game against lincoln city when the fire broke out and still struggles to listen to his description of that fatal day .   here he gives his insight into what caused the blaze .   the tragic fire at bradford city 's valley parade stadium claimed 56 victims and injured 265 on may 11 , 1985 .
rory mcilroy put the golf clubs away as he battled with fifty shades of grey star jamie dornan to promote new football concept circular soccer .   mcilroy was filmed battling with fellow northern irishman dornan during a match of circular soccer , a new football game based around a three sided goal and aimed to improve skill and ball control .   the duo were taking part in the first circular soccer showdown of 2015 which mcilroy won 2-1 .
chris christie appeared on the tonight show wednesday evening , and wasted no time calling on jimmy fallon for the weight jokes made about him on the program .   ' then , to make amends , fallon gave christie his favorite food - ice cream .   this is it .
