( cnn ) two cnn heroes are among the earthquake survivors in kathmandu , nepal .   anuradha koirala , who rescues victims of sex trafficking , has a rehabilitation center in kathmandu that is home to 425 young women and girls .   the public has been warned not to use the main water line due to risk of cholera .
the experiment , which involved treating the coins and notes in a substance that allows bacteria to grow quickly , highlights how dirty handling money can be .   thousands of bacteria colonies were discovered on notes and coins chosen at random from scientists ' pockets .   it was then submerged in agar - a substance that allows bacteria to grow quickly - and then monitored for three to four days .
porto and brazil right back danilo will join real madrid in the summer in a deal worth # 23million   with the confirmation of danilo 's summer switch to real madrid , porto have now received a whopping # 440million from player sales in the last 11 years .   since winning the champions league under jose mourinho in 2004 the portuguese champions have made a habit of selling on players for huge profits .
carrie reichert ( left ) , 43 , has released a teaser from her upcoming book in the eye of the royal story in which she recounts the events of prince harry 's infamous party night   carrie reichert , 43 , who has previously said she kissed the prince and has a pair of his underpants she hopes to use in a strip-tease show , has now written a book about the night .   a dominatrix who claims she shared a ` hot , deep kiss ' with prince harry during his infamous party night in vegas three years ago says she felt ` overdressed ' when she saw him playing strip billiards .
eva chapin , 34 , from west linn , oregon , was booked into jail after she left a string of offensive post-it notes on the door of the family home   eva chapin , 34 , from west linn , oregon , was booked into jail after she left a string of offensive post-it notes on the door of the family home .   the qualified nurse referred to the residents , who are believed to have roots in ghana , as ` n ***** ' but wrote : ' i am not racist ' .
justin rose was unable to take victory at the masters , despite carding 14-under-par for the tournament   justin rose will try to take a leaf out of rory mcilroy 's book after kickstarting his season with his share of second place in the masters .   rose believes that his finish of second at augusta can boost his season with some big events ahead
zbigniew huminski , 38 , has confessed to strangling his nine-year-old victim , identified by her first name of chloe , yesterday afternoon in france ` while drunk ' .   she was stripped naked and sexually assaulted and after being forced into huminski 's car and then driven to an isolated wood once used as a camp for illegal migrants bound for the uk .   a pole with convictions for violence was on his way to britain from calais when he snatched a schoolgirl in front of her mother before raping and murdering her , it emerged today .
dennis krauss and mary ann diano said they plan to spend their winning on a new house .   mary ann diano was left homeless when the storms hit staten island , new york , in october 2012 - but now says because of hurricane sandy she has met the love of her life and they are buying their dream home together .   the 62-year-old 's home has lived in a trailer park in connecticut every since the disaster where she met her partner dennis krauss , whose home in brooklyn , new york , was also destroyed .
chelsea midfielder cesc fabregas took to instagram to show off the shiners he picked up from stoke city midfielder charlie adam on saturday .   fabregas was caught in the face by stoke city midfielder adam 's flailing arm during their game   chelsea midfielder cesc fabregas took to instagram to show off the shiner he picked up from charlie adam
a classmate , christopher plaskon , has been charged with murder .   the life of a 16-year-old girl stabbed to death at a connecticut school a year ago on the day of prom was celebrated saturday by hundreds of people with a road race , fried food and live music .   remembrance : friends embrace and remember slain student maren sanchez on saturday , april 25 , 2015
her neighbour 's leylandii hedge stands 40ft tall and , says audrey alexander , has left parts of her garden in deep shade .   a row between neighbours over a 40ft high leylandii hedge ( pictured ) has finally come to and end after 35 years   stirling council has finally ruled that the hedge can stay , despite claims it has knocked # 20,000 off the value of neighbour audrey alexander 's house ( pictured )
