Called the Chevrolet-FNR , it boasts a futuristic capsule design among other interesting features .   The car was unveiled at the Shanghai General Motors Gala Night this week .   It was developed in Shanghai by GM 's Pan Asia Technical Automotive Centre -LRB- PATAC -RRB- joint venture .   Chevrolet said the car offered a ` glimpse at mobility of the future . '
This is the incredible moment a man narrowly missed being burnt alive by a massive fireball which erupted from the pavement .   Father-of-two Shiraz Nawaz said he felt lucky to be alive after the 15-foot flames shot out of the manhole just seconds after he had walked over it in a busy street in the West Midlands .   The 36-year-old had been on his way to his local takeaway when he heard buzzing from the ground just a few feet behind him .   The smoke was followed by a huge blast of flame which shot out 15-foot of the ground on the pedestrian walkway .
A food supplier for supermarket giant Tesco has sacked a farm worker who was caught on camera urinating in a field of vegetables .   A disgusted member of the public snapped the man on his mobile phone after spotting him using the field as a makeshift toilet .   The worker , who can be seen in a high-vis jacket , casually stood in the middle of the crops urinating on the plants - despite a toilet being only 18 metres away .   TH Clements & Son , which owns the field in Benington , Lincolnshire , was alerted and sacked the worker with immediate effect .
Council chiefs were condemned last night after claiming it was too dangerous to collect the roadside litter blighting Britain .   Winchester Council in Hampshire said its annual clean-up of roads around the city had been hit by new Health and Safety Executive rules designed to protect litter-pickers from traffic .   But the HSE denied tightening rules -- and said councils were ` over-interpreting ' legislation .   Last night , former Poet Laureate Sir Andrew Motion , now president of the Campaign to Protect Rural England , accused town hall bosses and the Highways Agency of ruining the countryside by failing to remove rubbish .
A Florida man wanted as a suspect in the murder of his own mother has been on the run from police since Saturday .   Police say Michael Scott Shemansky came to their attention after he failed to appear for a supervised visit with his son on the same day mother Sandra Shemansky , 57 , was found dead at the home they shared in Winter Garden .   The body was discovered at the West Colonial Drive home when an out-of-state family member called in a well-being check .   He is already on parole for battery on law enforcement , has a history of bipolar mental illness , and was involuntarily committed to a psychiatric ward for an attempted suicide .
A Sicilian Mafia fugitive dubbed the Godfather of Uxbridge who was set to be extradited to Italy will be allowed to remain in the UK after his sentence was dropped .   Domenico Rancadore , who has lived in Britain for more than 20 years , was given a seven-year sentence by an Italian court in 1999 for being a member of the Cosa Nostra .   In February he lost his year-and-a-half battle against extradition and was told he must return to Italy to serve his sentence .   But today it emerged that the 65-year-old 's case expired last October and his European Arrest Warrant is to be withdrawn .
Baron the German Shepherd was filmed as he helped get the dishes done at home in California .   Footage shows the pup reaching up and grabbing rinsed goods between his teeth from the sink , before loading them into the dishwasher .   Once he 's put an item in the machine , Baron patiently waits for another to be rinsed by his owner .   Baron was professionally trained at the Hill Country K9 school .
A British grandmother on death row in Bali for smuggling cocaine has condemned the execution of the Australian Bali Nine duo as ` senseless and brutal ' .   Lindsay Sandiford , 58 , from Cheltenham , now fears she will be the next to face the firing squad and said she ` feels like giving up ' and ` just wants to get it over with ' .   Australians Andrew Chan , 31 , and Myuran Sukumaran , 33 , were executed along with six other prisoners by an Indonesian firing squad .   The Australian pair were the first to die in the latest round of executions after a final KFC bucket meal .
But when basketballer Abby Bishop was just 24 , her life completely changed when she took in her two-day-old niece Zala .   It was August 2013 and Bishop suddenly found herself caring for a newborn , juggling training with sleepless nights and adjusting to her new life .   Now Zala is 20 months old and she follows Bishop as she travels the world playing for professional teams , and will go with her to the U.S. this May when she starts playing for the Seattle Storm in the WNBA .   Bishop , now 26 , said it was a big decision at the time but she would n't change anything .
Ben Flower does not believe he deserved the standing ovation which greeted his return from suspension on Thursday night .   As his Wigan side beat Warrington 30-20 , the Wales forward made his first appearance since he punched St Helens ' Lance Hohaia in the opening moments of last season 's Grand Final , earning a six-month ban .   The 27-year-old , who came on as a substitute in the 23rd minute of Thursday 's match , told the Daily Star Sunday : ' I was surprised how calm I was , with everything going through my head about doing the right things .   For the fans to stick by me like that is a credit to them .
A holidaymaker who jetted off to Cyprus to celebrate his new job was sacked before starting after returning with a stun gun , baton and knuckle duster in his luggage .   Paul Armstrong , 26 , of Sunderland , flew to Cyprus with four friends before beginning his new role as an IT project manager .   But after a spending spree on the trip , Armstrong was stopped at the airport with the stun gun disguised as a torch , extendable baton and knuckle duster stuffed in his luggage .   A court heard how the stun gun was capable of administering an electrical discharge which would cause a victim to ` startle and repel ' .
